Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
14	-2.1e-002	1.e-015	0.	0.27772
15	-2.1e-002	1.75e-002	0.	0.44025
16	-2.1e-002	3.5e-002	0.	0.70632
17	-2.1e-002	5.25e-002	0.	0.83635
18	-2.1e-002	7.e-002	0.	0.93461
19	-2.1e-002	8.75e-002	0.	0.99113
20	-2.1e-002	0.105	0.	1.0091
21	-2.1e-002	0.1225	0.	0.98982
22	-2.1e-002	0.14	0.	0.93257
23	-2.1e-002	0.1575	0.	0.83561
24	-2.1e-002	0.175	0.	0.65415
25	-2.1e-002	0.21	0.	0.265
26	-2.1e-002	0.1925	0.	0.44216
33	2.1e-002	0.21	0.	0.27504
79	2.1e-002	0.1925	0.	0.47935
80	2.1e-002	0.175	0.	0.69763
81	2.1e-002	0.1575	0.	0.82133
82	2.1e-002	0.14	0.	0.94456
83	2.1e-002	0.1225	0.	0.9861
84	2.1e-002	0.105	0.	1.0109
85	2.1e-002	8.75e-002	0.	0.99343
86	2.1e-002	7.e-002	0.	0.94785
87	2.1e-002	5.25e-002	0.	0.82379
88	2.1e-002	3.5e-002	0.	0.66582
89	2.1e-002	1.75e-002	0.	0.45145
90	2.1e-002	0.	0.	0.28399
158	1.05e-002	0.21	0.	0.2312
159	-1.05e-002	0.21	0.	0.25118
160	1.05e-002	2.7756e-018	0.	0.24276
161	-1.05e-002	3.5805e-016	0.	0.24357
495	0.	0.21	0.	0.24184
496	0.	0.	0.	0.22838
1390	2.8142e-003	0.18341	0.	0.62156
1391	0.	0.14875	0.	0.89157
1392	0.	0.11375	0.	1.0061
1393	0.	7.875e-002	0.	0.97059
1394	4.2327e-016	4.125e-002	0.	0.75926
1395	1.2953e-005	1.2629e-002	0.	0.45384
1396	0.	6.125e-002	0.	0.89669
1397	0.	9.625e-002	0.	1.0039
1398	0.	0.13125	0.	0.96844
1399	0.	0.16625	0.	0.75861
1400	5.25e-003	0.19687	0.	0.43166
1401	-8.0676e-003	2.6657e-002	0.	0.59827
1402	-7.875e-003	0.19469	0.	0.4658
7186	-2.1e-002	8.75e-003	0.	0.35899
7188	-1.575e-002	6.7902e-016	0.	0.26065
7192	-2.1e-002	2.625e-002	0.	0.57328
7194	-1.575e-002	8.75e-003	0.	0.34191
7195	-1.0494e-002	1.5064e-002	0.	0.44705
7196	-1.4534e-002	2.2079e-002	0.	0.51926
7198	-2.1e-002	4.375e-002	0.	0.77133
7200	-1.05e-002	3.8125e-002	0.	0.73279
7201	-1.4534e-002	3.0829e-002	0.	0.65229
7202	-2.1e-002	6.125e-002	0.	0.88548
7204	-1.05e-002	4.6875e-002	0.	0.7978
7205	-1.05e-002	5.6875e-002	0.	0.86652
7206	-2.1e-002	7.875e-002	0.	0.96287
7208	-1.05e-002	7.4375e-002	0.	0.9526
7209	-1.05e-002	6.5625e-002	0.	0.91565
7210	-2.1e-002	9.625e-002	0.	1.0001
7212	-1.05e-002	8.3125e-002	0.	0.98086
7213	-1.05e-002	9.1875e-002	0.	0.99752
7214	-2.1e-002	0.11375	0.	0.99946
7216	-1.05e-002	0.10938	0.	1.0076
7217	-1.05e-002	0.10063	0.	1.0065
7218	-2.1e-002	0.13125	0.	0.96119
7220	-1.05e-002	0.11812	0.	0.99795
7221	-1.05e-002	0.12687	0.	0.97913
7222	-2.1e-002	0.14875	0.	0.88409
7224	-1.05e-002	0.14437	0.	0.91207
7225	-1.05e-002	0.13563	0.	0.95051
7226	-2.1e-002	0.16625	0.	0.74488
7228	-1.05e-002	0.15313	0.	0.86359
7229	-1.05e-002	0.16187	0.	0.79711
7230	-2.1e-002	0.18375	0.	0.54815
7232	-9.0929e-003	0.17921	0.	0.63786
7233	-1.05e-002	0.17063	0.	0.70638
7234	-1.4438e-002	0.18484	0.	0.55997
7236	-2.1e-002	0.20125	0.	0.35358
7238	-1.575e-002	0.21	0.	0.25809
7243	-1.575e-002	0.20125	0.	0.34667
7244	-1.4438e-002	0.19359	0.	0.45398
7311	2.1e-002	0.20125	0.	0.3772
7312	1.575e-002	0.21	0.	0.25312
7575	2.1e-002	0.18375	0.	0.58849
7577	1.575e-002	0.20125	0.	0.35528
7578	1.1907e-002	0.18796	0.	0.55046
7579	1.3125e-002	0.19469	0.	0.45551
7582	2.1e-002	0.16625	0.	0.75948
7584	1.1907e-002	0.17921	0.	0.6596
7585	1.05e-002	0.17063	0.	0.72812
7588	2.1e-002	0.14875	0.	0.88294
7590	1.05e-002	0.15313	0.	0.85645
7591	1.05e-002	0.16187	0.	0.78997
7593	2.1e-002	0.13125	0.	0.96533
7595	1.05e-002	0.14437	0.	0.91806
7596	1.05e-002	0.13563	0.	0.9565
7598	2.1e-002	0.11375	0.	0.99851
7600	1.05e-002	0.11812	0.	0.9961
7601	1.05e-002	0.12687	0.	0.97727
7603	2.1e-002	9.625e-002	0.	1.0022
7605	1.05e-002	0.10938	0.	1.0085
7606	1.05e-002	0.10063	0.	1.0074
7608	2.1e-002	7.875e-002	0.	0.97064
7610	1.05e-002	8.3125e-002	0.	0.98201
7611	1.05e-002	9.1875e-002	0.	0.99867
7614	2.1e-002	6.125e-002	0.	0.88582
7616	1.05e-002	7.4375e-002	0.	0.95922
7617	1.05e-002	6.5625e-002	0.	0.92227
7619	2.1e-002	4.375e-002	0.	0.74481
7621	1.05e-002	4.6875e-002	0.	0.79152
7622	1.05e-002	5.6875e-002	0.	0.86024
7624	2.1e-002	2.625e-002	0.	0.55864
7626	1.05e-002	3.8125e-002	0.	0.71254
7627	1.0506e-002	2.3814e-002	0.	0.55983
7628	6.4662e-003	3.0829e-002	0.	0.63205
7632	2.1e-002	8.75e-003	0.	0.36772
7634	1.575e-002	8.75e-003	0.	0.3471
7635	1.0506e-002	1.5064e-002	0.	0.45264
7640	1.575e-002	1.3878e-018	0.	0.26337
8178	5.25e-003	0.21	0.	0.23652
8180	7.875e-003	0.20344	0.	0.33143
8184	-5.25e-003	0.21	0.	0.24651
8186	-9.1875e-003	0.20234	0.	0.35849
8192	5.25e-003	1.3878e-018	0.	0.23557
8194	5.2565e-003	6.3144e-003	0.	0.3483
8199	-5.25e-003	1.7902e-016	0.	0.23598
8201	-5.2435e-003	6.3144e-003	0.	0.3487
10671	2.625e-003	0.20344	0.	0.33675
10672	-3.9375e-003	0.20234	0.	0.35382
10676	6.4764e-006	6.3144e-003	0.	0.34111
17406	1.4071e-003	0.17483	0.	0.69009
17407	4.0321e-003	0.19014	0.	0.52661
17408	-2.5304e-003	0.18905	0.	0.54368
17412	0.	0.14	0.	0.93001
17413	0.	0.1575	0.	0.82509
17416	0.	0.105	0.	1.005
17417	0.	0.1225	0.	0.98727
17420	0.	7.e-002	0.	0.93364
17421	0.	8.75e-002	0.	0.98725
17423	2.1164e-016	5.125e-002	0.	0.82797
17424	-4.0338e-003	3.3954e-002	0.	0.67876
17427	-4.0273e-003	1.9643e-002	0.	0.52605
17439	-1.3125e-003	0.19578	0.	0.44873
1	-3.15e-002	0.1925	0.	5.1097e-003
2	-3.15e-002	0.175	0.	-1.3502e-002
3	-3.15e-002	0.1575	0.	-1.4001e-002
4	-3.15e-002	0.14	0.	-1.4927e-002
5	-3.15e-002	0.1225	0.	-1.5193e-002
6	-3.15e-002	0.105	0.	-1.5297e-002
7	-3.15e-002	8.75e-002	0.	-1.5233e-002
8	-3.15e-002	7.e-002	0.	-1.4919e-002
9	-3.15e-002	5.25e-002	0.	-1.3819e-002
10	-3.15e-002	3.5e-002	0.	-1.3565e-002
11	-3.15e-002	1.75e-002	0.	6.0228e-003
12	-3.15e-002	1.e-015	0.	2.6201e-002
13	-3.15e-002	0.21	0.	2.3993e-002
14	-2.1e-002	1.e-015	0.	2.6201e-002
15	-2.1e-002	1.75e-002	0.	6.0228e-003
16	-2.1e-002	3.5e-002	0.	-1.3565e-002
17	-2.1e-002	5.25e-002	0.	-1.3819e-002
18	-2.1e-002	7.e-002	0.	-1.4919e-002
19	-2.1e-002	8.75e-002	0.	-1.5233e-002
20	-2.1e-002	0.105	0.	-1.5297e-002
21	-2.1e-002	0.1225	0.	-1.5193e-002
22	-2.1e-002	0.14	0.	-1.4927e-002
23	-2.1e-002	0.1575	0.	-1.4001e-002
24	-2.1e-002	0.175	0.	-1.3502e-002
25	-2.1e-002	0.21	0.	2.3993e-002
26	-2.1e-002	0.1925	0.	5.1097e-003
28	3.15e-002	0.21	0.	2.0511e-002
33	2.1e-002	0.21	0.	2.0511e-002
79	2.1e-002	0.1925	0.	3.6157e-003
80	2.1e-002	0.175	0.	-1.3462e-002
81	2.1e-002	0.1575	0.	-1.4378e-002
82	2.1e-002	0.14	0.	-1.5386e-002
83	2.1e-002	0.1225	0.	-1.576e-002
84	2.1e-002	0.105	0.	-1.5854e-002
85	2.1e-002	8.75e-002	0.	-1.5789e-002
86	2.1e-002	7.e-002	0.	-1.5487e-002
87	2.1e-002	5.25e-002	0.	-1.4457e-002
88	2.1e-002	3.5e-002	0.	-1.3869e-002
89	2.1e-002	1.75e-002	0.	5.0096e-003
90	2.1e-002	0.	0.	2.4088e-002
98	3.15e-002	1.e-015	0.	2.4088e-002
124	3.15e-002	1.75e-002	0.	5.0096e-003
125	3.15e-002	3.5e-002	0.	-1.3869e-002
126	3.15e-002	5.25e-002	0.	-1.4457e-002
127	3.15e-002	7.e-002	0.	-1.5487e-002
128	3.15e-002	8.75e-002	0.	-1.5789e-002
129	3.15e-002	0.105	0.	-1.5854e-002
130	3.15e-002	0.1225	0.	-1.576e-002
131	3.15e-002	0.14	0.	-1.5386e-002
132	3.15e-002	0.1575	0.	-1.4378e-002
133	3.15e-002	0.175	0.	-1.3462e-002
134	3.15e-002	0.1925	0.	3.6157e-003
7080	-3.15e-002	0.18375	0.	-4.1961e-003
7081	-3.15e-002	0.20125	0.	1.4551e-002
7082	-2.625e-002	0.1925	0.	5.1097e-003
7091	-3.15e-002	0.16625	0.	-1.3752e-002
7092	-2.625e-002	0.175	0.	-1.3502e-002
7099	-3.15e-002	0.14875	0.	-1.4464e-002
7100	-2.625e-002	0.1575	0.	-1.4001e-002
7107	-3.15e-002	0.13125	0.	-1.506e-002
7108	-2.625e-002	0.14	0.	-1.4927e-002
7114	-3.15e-002	0.11375	0.	-1.5245e-002
7115	-2.625e-002	0.1225	0.	-1.5193e-002
7121	-3.15e-002	9.625e-002	0.	-1.5265e-002
7122	-2.625e-002	0.105	0.	-1.5297e-002
7129	-3.15e-002	7.875e-002	0.	-1.5076e-002
7130	-2.625e-002	8.75e-002	0.	-1.5233e-002
7137	-3.15e-002	6.125e-002	0.	-1.4369e-002
7138	-2.625e-002	7.e-002	0.	-1.4919e-002
7144	-3.15e-002	4.375e-002	0.	-1.3692e-002
7145	-2.625e-002	5.25e-002	0.	-1.3819e-002
7151	-3.15e-002	2.625e-002	0.	-3.7712e-003
7152	-2.625e-002	3.5e-002	0.	-1.3565e-002
7159	-3.15e-002	8.75e-003	0.	1.6112e-002
7160	-2.625e-002	1.75e-002	0.	6.0228e-003
7166	-2.625e-002	1.e-015	0.	2.6201e-002
7176	-2.625e-002	0.21	0.	2.3993e-002
7186	-2.1e-002	8.75e-003	0.	1.6112e-002
7192	-2.1e-002	2.625e-002	0.	-3.7712e-003
7198	-2.1e-002	4.375e-002	0.	-1.3692e-002
7202	-2.1e-002	6.125e-002	0.	-1.4369e-002
