Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
14	-2.1e-002	1.e-015	0.	0.32762
15	-2.1e-002	1.75e-002	0.	0.45836
16	-2.1e-002	3.5e-002	0.	0.71
17	-2.1e-002	5.25e-002	0.	0.83755
18	-2.1e-002	7.e-002	0.	0.93508
19	-2.1e-002	8.75e-002	0.	0.99127
20	-2.1e-002	0.105	0.	1.0091
21	-2.1e-002	0.1225	0.	0.98987
22	-2.1e-002	0.14	0.	0.93287
23	-2.1e-002	0.1575	0.	0.83651
24	-2.1e-002	0.175	0.	0.65695
25	-2.1e-002	0.21	0.	0.31499
26	-2.1e-002	0.1925	0.	0.45997
33	2.1e-002	0.21	0.	0.32476
79	2.1e-002	0.1925	0.	0.495
80	2.1e-002	0.175	0.	0.7018
81	2.1e-002	0.1575	0.	0.82315
82	2.1e-002	0.14	0.	0.94505
83	2.1e-002	0.1225	0.	0.98634
84	2.1e-002	0.105	0.	1.0109
85	2.1e-002	8.75e-002	0.	0.9935
86	2.1e-002	7.e-002	0.	0.94812
87	2.1e-002	5.25e-002	0.	0.82505
88	2.1e-002	3.5e-002	0.	0.66824
89	2.1e-002	1.75e-002	0.	0.46858
90	2.1e-002	0.	0.	0.33267
158	1.05e-002	0.21	0.	0.26563
159	-1.05e-002	0.21	0.	0.28163
160	1.05e-002	2.7756e-018	0.	0.2678
161	-1.05e-002	3.5805e-016	0.	0.27204
495	0.	0.21	0.	0.24666
496	0.	0.	0.	0.23406
1390	2.8142e-003	0.18341	0.	0.62269
1391	0.	0.14875	0.	0.89183
1392	0.	0.11375	0.	1.0061
1393	0.	7.875e-002	0.	0.97062
1394	4.2327e-016	4.125e-002	0.	0.75965
1395	1.2953e-005	1.2629e-002	0.	0.45492
1396	0.	6.125e-002	0.	0.89683
1397	0.	9.625e-002	0.	1.0039
1398	0.	0.13125	0.	0.96849
1399	0.	0.16625	0.	0.75884
1400	5.25e-003	0.19687	0.	0.43533
1401	-8.0676e-003	2.6657e-002	0.	0.60003
1402	-7.875e-003	0.19469	0.	0.46905
7186	-2.1e-002	8.75e-003	0.	0.38931
7188	-1.575e-002	6.7902e-016	0.	0.29944
7192	-2.1e-002	2.625e-002	0.	0.5819
7194	-1.575e-002	8.75e-003	0.	0.36376
7195	-1.0494e-002	1.5064e-002	0.	0.45077
7196	-1.4534e-002	2.2079e-002	0.	0.5263
7198	-2.1e-002	4.375e-002	0.	0.77355
7200	-1.05e-002	3.8125e-002	0.	0.7341
7201	-1.4534e-002	3.0829e-002	0.	0.65492
7202	-2.1e-002	6.125e-002	0.	0.88626
7204	-1.05e-002	4.6875e-002	0.	0.79841
7205	-1.05e-002	5.6875e-002	0.	0.86687
7206	-2.1e-002	7.875e-002	0.	0.96314
7208	-1.05e-002	7.4375e-002	0.	0.95277
7209	-1.05e-002	6.5625e-002	0.	0.91582
7210	-2.1e-002	9.625e-002	0.	1.0002
7212	-1.05e-002	8.3125e-002	0.	0.98093
7213	-1.05e-002	9.1875e-002	0.	0.99758
7214	-2.1e-002	0.11375	0.	0.99946
7216	-1.05e-002	0.10938	0.	1.0076
7217	-1.05e-002	0.10063	0.	1.0065
7218	-2.1e-002	0.13125	0.	0.96134
7220	-1.05e-002	0.11812	0.	0.99796
7221	-1.05e-002	0.12687	0.	0.97915
7222	-2.1e-002	0.14875	0.	0.88464
7224	-1.05e-002	0.14437	0.	0.91217
7225	-1.05e-002	0.13563	0.	0.95057
7226	-2.1e-002	0.16625	0.	0.74652
7228	-1.05e-002	0.15313	0.	0.86381
7229	-1.05e-002	0.16187	0.	0.79744
7230	-2.1e-002	0.18375	0.	0.5561
7232	-9.0929e-003	0.17921	0.	0.63851
7233	-1.05e-002	0.17063	0.	0.70709
7234	-1.4438e-002	0.18484	0.	0.56293
7236	-2.1e-002	0.20125	0.	0.38348
7238	-1.575e-002	0.21	0.	0.29765
7243	-1.575e-002	0.20125	0.	0.36915
7244	-1.4438e-002	0.19359	0.	0.46293
7311	2.1e-002	0.20125	0.	0.40522
7312	1.575e-002	0.21	0.	0.29502
7575	2.1e-002	0.18375	0.	0.59691
7577	1.575e-002	0.20125	0.	0.37724
7578	1.1907e-002	0.18796	0.	0.55587
7579	1.3125e-002	0.19469	0.	0.46401
7582	2.1e-002	0.16625	0.	0.76231
7584	1.1907e-002	0.17921	0.	0.66186
7585	1.05e-002	0.17063	0.	0.72944
7588	2.1e-002	0.14875	0.	0.88398
7590	1.05e-002	0.15313	0.	0.85724
7591	1.05e-002	0.16187	0.	0.79066
7593	2.1e-002	0.13125	0.	0.96568
7595	1.05e-002	0.14437	0.	0.9184
