Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
14	-2.1e-002	1.e-015	0.	0.3409
15	-2.1e-002	1.75e-002	0.	0.47694
16	-2.1e-002	3.5e-002	0.	0.73877
17	-2.1e-002	5.25e-002	0.	0.8715
18	-2.1e-002	7.e-002	0.	0.97297
19	-2.1e-002	8.75e-002	0.	1.0314
20	-2.1e-002	0.105	0.	1.05
21	-2.1e-002	0.1225	0.	1.03
22	-2.1e-002	0.14	0.	0.97067
23	-2.1e-002	0.1575	0.	0.87041
24	-2.1e-002	0.175	0.	0.68357
25	-2.1e-002	0.21	0.	0.32775
26	-2.1e-002	0.1925	0.	0.47861
33	2.1e-002	0.21	0.	0.33793
79	2.1e-002	0.1925	0.	0.51506
80	2.1e-002	0.175	0.	0.73025
81	2.1e-002	0.1575	0.	0.85652
82	2.1e-002	0.14	0.	0.98336
83	2.1e-002	0.1225	0.	1.0263
84	2.1e-002	0.105	0.	1.0519
85	2.1e-002	8.75e-002	0.	1.0338
86	2.1e-002	7.e-002	0.	0.98655
87	2.1e-002	5.25e-002	0.	0.85849
88	2.1e-002	3.5e-002	0.	0.69532
89	2.1e-002	1.75e-002	0.	0.48757
90	2.1e-002	0.	0.	0.34615
158	1.05e-002	0.21	0.	0.2764
159	-1.05e-002	0.21	0.	0.29304
160	1.05e-002	2.7756e-018	0.	0.27865
161	-1.05e-002	3.5805e-016	0.	0.28307
495	0.	0.21	0.	0.25666
496	0.	0.	0.	0.24354
1390	2.8142e-003	0.18341	0.	0.64793
1391	0.	0.14875	0.	0.92797
1392	0.	0.11375	0.	1.0469
1393	0.	7.875e-002	0.	1.01
1394	4.2327e-016	4.125e-002	0.	0.79044
1395	1.2953e-005	1.2629e-002	0.	0.47336
1396	0.	6.125e-002	0.	0.93318
1397	0.	9.625e-002	0.	1.0446
1398	0.	0.13125	0.	1.0077
1399	0.	0.16625	0.	0.78959
1400	5.25e-003	0.19687	0.	0.45297
1401	-8.0676e-003	2.6657e-002	0.	0.62435
1402	-7.875e-003	0.19469	0.	0.48806
7186	-2.1e-002	8.75e-003	0.	0.40509
7188	-1.575e-002	6.7902e-016	0.	0.31158
7192	-2.1e-002	2.625e-002	0.	0.60549
7194	-1.575e-002	8.75e-003	0.	0.3785
7195	-1.0494e-002	1.5064e-002	0.	0.46903
7196	-1.4534e-002	2.2079e-002	0.	0.54763
7198	-2.1e-002	4.375e-002	0.	0.8049
7200	-1.05e-002	3.8125e-002	0.	0.76386
7201	-1.4534e-002	3.0829e-002	0.	0.68147
7202	-2.1e-002	6.125e-002	0.	0.92218
7204	-1.05e-002	4.6875e-002	0.	0.83077
7205	-1.05e-002	5.6875e-002	0.	0.902
7206	-2.1e-002	7.875e-002	0.	1.0022
7208	-1.05e-002	7.4375e-002	0.	0.99139
7209	-1.05e-002	6.5625e-002	0.	0.95294
7210	-2.1e-002	9.625e-002	0.	1.0407
7212	-1.05e-002	8.3125e-002	0.	1.0207
7213	-1.05e-002	9.1875e-002	0.	1.038
7214	-2.1e-002	0.11375	0.	1.04
7216	-1.05e-002	0.10938	0.	1.0484
7217	-1.05e-002	0.10063	0.	1.0473
7218	-2.1e-002	0.13125	0.	1.0003
7220	-1.05e-002	0.11812	0.	1.0384
7221	-1.05e-002	0.12687	0.	1.0188
7222	-2.1e-002	0.14875	0.	0.92049
7224	-1.05e-002	0.14437	0.	0.94914
7225	-1.05e-002	0.13563	0.	0.98909
7226	-2.1e-002	0.16625	0.	0.77678
7228	-1.05e-002	0.15313	0.	0.89882
7229	-1.05e-002	0.16187	0.	0.82976
7230	-2.1e-002	0.18375	0.	0.57864
7232	-9.0929e-003	0.17921	0.	0.66438
7233	-1.05e-002	0.17063	0.	0.73575
7234	-1.4438e-002	0.18484	0.	0.58575
7236	-2.1e-002	0.20125	0.	0.39902
7238	-1.575e-002	0.21	0.	0.30971
7243	-1.575e-002	0.20125	0.	0.38412
7244	-1.4438e-002	0.19359	0.	0.48169
7311	2.1e-002	0.20125	0.	0.42164
7312	1.575e-002	0.21	0.	0.30698
7575	2.1e-002	0.18375	0.	0.6211
7577	1.575e-002	0.20125	0.	0.39253
7578	1.1907e-002	0.18796	0.	0.5784
7579	1.3125e-002	0.19469	0.	0.48282
7582	2.1e-002	0.16625	0.	0.7932
7584	1.1907e-002	0.17921	0.	0.68868
7585	1.05e-002	0.17063	0.	0.759
7588	2.1e-002	0.14875	0.	0.9198
7590	1.05e-002	0.15313	0.	0.89198
7591	1.05e-002	0.16187	0.	0.8227
7593	2.1e-002	0.13125	0.	1.0048
7595	1.05e-002	0.14437	0.	0.95562
7596	1.05e-002	0.13563	0.	0.99547
7598	2.1e-002	0.11375	0.	1.039
7600	1.05e-002	0.11812	0.	1.0366
7601	1.05e-002	0.12687	0.	1.017
7603	2.1e-002	9.625e-002	0.	1.0428
7605	1.05e-002	0.10938	0.	1.0494
7606	1.05e-002	0.10063	0.	1.0482
7608	2.1e-002	7.875e-002	0.	1.0101
7610	1.05e-002	8.3125e-002	0.	1.0218
7611	1.05e-002	9.1875e-002	0.	1.0392
7614	2.1e-002	6.125e-002	0.	0.92241
7616	1.05e-002	7.4375e-002	0.	0.99816
7617	1.05e-002	6.5625e-002	0.	0.95981
7619	2.1e-002	4.375e-002	0.	0.77682
7621	1.05e-002	4.6875e-002	0.	0.82406
7622	1.05e-002	5.6875e-002	0.	0.89557
7624	2.1e-002	2.625e-002	0.	0.58896
7626	1.05e-002	3.8125e-002	0.	0.74214
7627	1.0506e-002	2.3814e-002	0.	0.58421
7628	6.4662e-003	3.0829e-002	0.	0.65807
7632	2.1e-002	8.75e-003	0.	0.41299
7634	1.575e-002	8.75e-003	0.	0.38183
7635	1.0506e-002	1.5064e-002	0.	0.47764
7640	1.575e-002	1.3878e-018	0.	0.31171
8178	5.25e-003	0.21	0.	0.26006
8180	7.875e-003	0.20344	0.	0.35816
8184	-5.25e-003	0.21	0.	0.26726
8186	-9.1875e-003	0.20234	0.	0.3849
8192	5.25e-003	1.3878e-018	0.	0.25505
8194	5.2565e-003	6.3144e-003	0.	0.36986
8199	-5.25e-003	1.7902e-016	0.	0.25778
8201	-5.2435e-003	6.3144e-003	0.	0.36755
10671	2.625e-003	0.20344	0.	0.35405
10672	-3.9375e-003	0.20234	0.	0.37065
10676	6.4764e-006	6.3144e-003	0.	0.35711
17406	1.4071e-003	0.17483	0.	0.71862
17407	4.0321e-003	0.19014	0.	0.55009
17408	-2.5304e-003	0.18905	0.	0.56656
17412	0.	0.14	0.	0.96783
17413	0.	0.1575	0.	0.85877
17416	0.	0.105	0.	1.0457
17417	0.	0.1225	0.	1.0273
17420	0.	7.e-002	0.	0.97155
17421	0.	8.75e-002	0.	1.0273
17423	2.1164e-016	5.125e-002	0.	0.86177
17424	-4.0338e-003	3.3954e-002	0.	0.70711
17427	-4.0273e-003	1.9643e-002	0.	0.54802
17439	-1.3125e-003	0.19578	0.	0.46786
1	-3.15e-002	0.1925	0.	0.10564
2	-3.15e-002	0.175	0.	7.2766e-002
3	-3.15e-002	0.1575	0.	5.1964e-002
4	-3.15e-002	0.14	0.	3.5111e-002
5	-3.15e-002	0.1225	0.	2.134e-002
6	-3.15e-002	0.105	0.	1.6077e-002
7	-3.15e-002	8.75e-002	0.	2.4618e-002
8	-3.15e-002	7.e-002	0.	3.9047e-002
9	-3.15e-002	5.25e-002	0.	5.6415e-002
10	-3.15e-002	3.5e-002	0.	7.7837e-002
11	-3.15e-002	1.75e-002	0.	0.11092
