Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
13	-0.24	0.	3.e-002	0.26197
14	-0.21818	0.	3.e-002	0.39368
15	-0.19636	0.	3.e-002	0.5404
16	-0.17455	0.	3.e-002	0.64036
17	-0.15273	0.	3.e-002	0.69749
18	-0.13091	0.	3.e-002	0.7276
19	-0.10909	0.	3.e-002	0.72562
20	-8.7273e-002	0.	3.e-002	0.69563
21	-6.5455e-002	0.	3.e-002	0.63241
22	-4.3636e-002	0.	3.e-002	0.5554
23	0.	0.	3.e-002	0.26445
24	-2.1818e-002	0.	3.e-002	0.37322
95	-2.1818e-002	0.	-3.e-002	0.37651
96	0.	0.	-3.e-002	0.24177
97	-4.3636e-002	0.	-3.e-002	0.53385
98	-6.5455e-002	0.	-3.e-002	0.62669
99	-8.7273e-002	0.	-3.e-002	0.7017
100	-0.10909	0.	-3.e-002	0.74776
101	-0.13091	0.	-3.e-002	0.74141
102	-0.15273	0.	-3.e-002	0.69643
103	-0.17455	0.	-3.e-002	0.64056
104	-0.19636	0.	-3.e-002	0.54133
105	-0.21818	0.	-3.e-002	0.3748
106	-0.24	0.	-3.e-002	0.2454
462	0.	0.	0.	0.21711
463	-0.24	0.	0.	0.21889
916	-3.8218e-002	0.	-2.4947e-019	0.49104
917	-7.6364e-002	0.	0.	0.65464
918	-0.12	0.	0.	0.72119
919	-0.16933	0.	0.	0.64886
920	-0.20727	0.	0.	0.47569
2128	-0.22909	0.	3.e-002	0.32379
2130	-0.24	0.	1.5e-002	0.23005
2137	-0.20727	0.	3.e-002	0.46585
2139	-0.22909	0.	1.5e-002	0.30247
2140	-0.21273	0.	1.5e-002	0.43144
2143	-0.18545	0.	3.e-002	0.59027
2145	-0.18285	0.	1.5e-002	0.59379
2146	-0.20182	0.	1.5e-002	0.50732
2149	-0.16364	0.	3.e-002	0.66881
2151	-0.17194	0.	1.5e-002	0.64424
2154	-0.14182	0.	3.e-002	0.71253
2156	-0.13636	0.	1.5e-002	0.70926
2157	-0.16103	0.	1.5e-002	0.67309
2160	-0.12	0.	3.e-002	0.72656
2162	-0.12545	0.	1.5e-002	0.72437
2165	-9.8182e-002	0.	3.e-002	0.71055
2167	-0.11455	0.	1.5e-002	0.7234
2170	-7.6364e-002	0.	3.e-002	0.66396
2172	-8.1818e-002	0.	1.5e-002	0.67504
2173	-0.10364	0.	1.5e-002	0.70828
2176	-5.4545e-002	0.	3.e-002	0.59373
2178	-5.1836e-002	0.	1.5e-002	0.56147
2179	-7.0909e-002	0.	1.5e-002	0.64323
2182	-3.2727e-002	0.	3.e-002	0.46282
2184	-4.0927e-002	0.	1.5e-002	0.52264
2186	-1.0909e-002	0.	3.e-002	0.3152
2188	0.	0.	1.5e-002	0.23055
2195	-1.0909e-002	0.	1.5e-002	0.29095
2196	-3.0018e-002	0.	1.5e-002	0.42888
2588	-1.0909e-002	0.	-3.e-002	0.30394
2589	-3.2727e-002	0.	-3.e-002	0.4543
2591	-1.0909e-002	0.	-1.5e-002	0.29399
2592	-3.0018e-002	0.	-1.5e-002	0.43009
2598	0.	0.	-1.5e-002	0.21963
2606	-5.4545e-002	0.	-3.e-002	0.57999
2608	-4.0927e-002	0.	-1.5e-002	0.51115
2611	-7.6364e-002	0.	-3.e-002	0.6641
2613	-5.1836e-002	0.	-1.5e-002	0.55827
2614	-7.0909e-002	0.	-1.5e-002	0.64039
2617	-9.8182e-002	0.	-3.e-002	0.72472
2619	-8.1818e-002	0.	-1.5e-002	0.67811
2620	-0.10364	0.	-1.5e-002	0.7114
2624	-0.12	0.	-3.e-002	0.74456
2626	-0.11455	0.	-1.5e-002	0.73446
2628	-0.14182	0.	-3.e-002	0.71882
2630	-0.12545	0.	-1.5e-002	0.7313
2633	-0.16364	0.	-3.e-002	0.66837
2635	-0.13636	0.	-1.5e-002	0.7087
2636	-0.16103	0.	-1.5e-002	0.67256
2639	-0.18545	0.	-3.e-002	0.59082
2641	-0.17194	0.	-1.5e-002	0.64435
2644	-0.20727	0.	-3.e-002	0.45689
2646	-0.18285	0.	-1.5e-002	0.59427
2647	-0.20182	0.	-1.5e-002	0.50775
2650	-0.22909	0.	-3.e-002	0.30546
2652	-0.22909	0.	-1.5e-002	0.29424
2653	-0.21273	0.	-1.5e-002	0.42202
2659	-0.24	0.	-1.5e-002	0.223
4868	-1.9109e-002	0.	-1.2473e-019	0.35275
4876	-0.22364	0.	0.	0.34603
7906	-5.7291e-002	0.	-1.2473e-019	0.57263
7912	-9.8182e-002	0.	0.	0.6879
7918	-0.14467	0.	0.	0.685
7924	-0.1883	0.	0.	0.56213
1	0.	0.	4.5e-002	0.11755
2	-2.1818e-002	0.	4.5e-002	9.4837e-002
3	-4.3636e-002	0.	4.5e-002	6.4662e-002
4	-6.5455e-002	0.	4.5e-002	4.5428e-002
5	-8.7273e-002	0.	4.5e-002	3.0201e-002
6	-0.10909	0.	4.5e-002	1.996e-002
7	-0.13091	0.	4.5e-002	1.991e-002
8	-0.15273	0.	4.5e-002	3.024e-002
9	-0.17455	0.	4.5e-002	4.5315e-002
10	-0.19636	0.	4.5e-002	6.4028e-002
11	-0.21818	0.	4.5e-002	9.2437e-002
12	-0.24	0.	4.5e-002	0.11416
13	-0.24	0.	3.e-002	0.11416
14	-0.21818	0.	3.e-002	9.2437e-002
15	-0.19636	0.	3.e-002	6.4028e-002
16	-0.17455	0.	3.e-002	4.5315e-002
17	-0.15273	0.	3.e-002	3.024e-002
18	-0.13091	0.	3.e-002	1.991e-002
19	-0.10909	0.	3.e-002	1.996e-002
20	-8.7273e-002	0.	3.e-002	3.0201e-002
21	-6.5455e-002	0.	3.e-002	4.5428e-002
22	-4.3636e-002	0.	3.e-002	6.4662e-002
23	0.	0.	3.e-002	0.11755
24	-2.1818e-002	0.	3.e-002	9.4837e-002
95	-2.1818e-002	0.	-3.e-002	9.4332e-002
96	0.	0.	-3.e-002	0.11687
97	-4.3636e-002	0.	-3.e-002	6.4005e-002
98	-6.5455e-002	0.	-3.e-002	4.5375e-002
99	-8.7273e-002	0.	-3.e-002	3.042e-002
100	-0.10909	0.	-3.e-002	1.9981e-002
101	-0.13091	0.	-3.e-002	1.9824e-002
102	-0.15273	0.	-3.e-002	3.0118e-002
103	-0.17455	0.	-3.e-002	4.5054e-002
104	-0.19636	0.	-3.e-002	6.3668e-002
105	-0.21818	0.	-3.e-002	9.3802e-002
106	-0.24	0.	-3.e-002	0.11621
199	-0.21818	0.	-4.5e-002	9.3802e-002
200	-0.24	0.	-4.5e-002	0.11621
201	-0.19636	0.	-4.5e-002	6.3668e-002
202	-0.17455	0.	-4.5e-002	4.5054e-002
203	-0.15273	0.	-4.5e-002	3.0118e-002
204	-0.13091	0.	-4.5e-002	1.9824e-002
205	-0.10909	0.	-4.5e-002	1.9981e-002
206	-8.7273e-002	0.	-4.5e-002	3.042e-002
207	-6.5455e-002	0.	-4.5e-002	4.5375e-002
208	-4.3636e-002	0.	-4.5e-002	6.4005e-002
