Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
9	-0.16	0.	2.e-002	0.13234
10	-0.13714	0.	2.e-002	0.27999
11	-0.11429	0.	2.e-002	0.41902
12	-9.1429e-002	0.	2.e-002	0.46315
13	-6.8571e-002	0.	2.e-002	0.46449
14	-4.5714e-002	0.	2.e-002	0.42015
15	0.	0.	2.e-002	0.15232
16	-2.2857e-002	0.	2.e-002	0.30087
59	-2.2857e-002	0.	-2.e-002	0.28714
60	0.	0.	-2.e-002	0.12863
61	-4.5714e-002	0.	-2.e-002	0.40346
62	-6.8571e-002	0.	-2.e-002	0.45951
63	-9.1429e-002	0.	-2.e-002	0.46071
64	-0.11429	0.	-2.e-002	0.40523
65	-0.13714	0.	-2.e-002	0.29418
66	-0.16	0.	-2.e-002	0.16692
385	0.	0.	0.	0.14543
386	-0.16	0.	0.	0.13659
1875	-0.14857	0.	2.e-002	0.20616
1877	-0.16	0.	1.e-002	0.13446
1883	-0.12571	0.	2.e-002	0.3495
1885	-0.12571	0.	0.	0.34261
1886	-0.13714	0.	0.	0.28708
1887	-0.14857	0.	1.e-002	0.20829
1892	-0.10286	0.	2.e-002	0.44109
1894	-0.10286	0.	0.	0.43987
1895	-0.11429	0.	0.	0.41213
1898	-8.e-002	0.	2.e-002	0.46382
1900	-9.1429e-002	0.	0.	0.46193
1903	-5.7143e-002	0.	2.e-002	0.44232
1905	-6.8571e-002	0.	0.	0.462
1906	-8.e-002	0.	0.	0.4626
1909	-3.4286e-002	0.	2.e-002	0.36051
1911	-4.5714e-002	0.	0.	0.4118
1912	-5.7143e-002	0.	0.	0.43983
1915	-1.1429e-002	0.	2.e-002	0.22659
1917	0.	0.	1.e-002	0.14887
1922	-2.2857e-002	0.	0.	0.294
1923	-3.4286e-002	0.	0.	0.35216
1924	-1.1429e-002	0.	1.e-002	0.22315
2152	-1.1429e-002	0.	-2.e-002	0.20789
2153	-3.4286e-002	0.	-2.e-002	0.3453
2155	-1.1429e-002	0.	-1.e-002	0.21629
2160	0.	0.	-1.e-002	0.13703
2165	-5.7143e-002	0.	-2.e-002	0.43149
2169	-8.e-002	0.	-2.e-002	0.46011
2173	-0.10286	0.	-2.e-002	0.43297
2177	-0.12571	0.	-2.e-002	0.34971
2181	-0.14857	0.	-2.e-002	0.23055
2183	-0.14857	0.	-1.e-002	0.21538
2188	-0.16	0.	-1.e-002	0.15175
1	0.	0.	3.e-002	1.0143e-002
2	-2.2857e-002	0.	3.e-002	-1.5996e-003
3	-4.5714e-002	0.	3.e-002	-1.25e-002
4	-6.8571e-002	0.	3.e-002	-1.209e-002
5	-9.1429e-002	0.	3.e-002	-1.2075e-002
6	-0.11429	0.	3.e-002	-1.2491e-002
7	-0.13714	0.	3.e-002	-9.329e-004
8	-0.16	0.	3.e-002	1.1488e-002
9	-0.16	0.	2.e-002	1.1488e-002
10	-0.13714	0.	2.e-002	-9.329e-004
11	-0.11429	0.	2.e-002	-1.2491e-002
12	-9.1429e-002	0.	2.e-002	-1.2075e-002
13	-6.8571e-002	0.	2.e-002	-1.209e-002
14	-4.5714e-002	0.	2.e-002	-1.25e-002
15	0.	0.	2.e-002	1.0143e-002
16	-2.2857e-002	0.	2.e-002	-1.5996e-003
59	-2.2857e-002	0.	-2.e-002	-1.8027e-003
60	0.	0.	-2.e-002	9.279e-003
61	-4.5714e-002	0.	-2.e-002	-1.224e-002
62	-6.8571e-002	0.	-2.e-002	-1.1966e-002
63	-9.1429e-002	0.	-2.e-002	-1.2138e-002
64	-0.11429	0.	-2.e-002	-1.2645e-002
65	-0.13714	0.	-2.e-002	-1.7277e-003
66	-0.16	0.	-2.e-002	9.8966e-003
131	-0.13714	0.	-3.e-002	-1.7277e-003
132	-0.16	0.	-3.e-002	9.8966e-003
133	-0.11429	0.	-3.e-002	-1.2645e-002
