Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
95	-0.4	0.	5.e-002	0.82967
96	-0.375	0.	5.e-002	1.167
97	-0.35	0.	5.e-002	1.5774
98	-0.3	0.	5.e-002	1.9864
99	-0.25	0.	5.e-002	2.212
100	-0.2	0.	5.e-002	2.3333
101	-0.15	0.	5.e-002	2.2775
102	-0.1	0.	5.e-002	1.8764
103	-5.e-002	0.	5.e-002	1.5104
104	0.	0.	5.e-002	0.84586
105	-2.5e-002	0.	5.e-002	1.1168
169	-2.5e-002	0.	-5.e-002	1.1244
170	0.	0.	-5.e-002	0.84947
171	-5.e-002	0.	-5.e-002	1.5346
172	-0.1	0.	-5.e-002	1.9012
173	-0.15	0.	-5.e-002	2.2587
174	-0.2	0.	-5.e-002	2.3287
175	-0.25	0.	-5.e-002	2.245
176	-0.3	0.	-5.e-002	1.9677
177	-0.35	0.	-5.e-002	1.5353
178	-0.375	0.	-5.e-002	1.2112
179	-0.4	0.	-5.e-002	0.93373
541	0.	0.	0.	0.71815
542	-0.4	0.	0.	0.72818
970	-5.e-002	0.	0.	1.5074
971	-0.35	0.	0.	1.5236
972	-0.125	0.	0.	2.1527
973	-0.225	0.	0.	2.3211
2530	-0.3875	0.	5.e-002	0.97795
2532	-0.4	0.	2.5e-002	0.73387
2537	-0.3625	0.	5.e-002	1.3696
2539	-0.3875	0.	2.5e-002	0.93542
2540	-0.3625	0.	2.5e-002	1.3285
2544	-0.325	0.	5.e-002	1.7768
2546	-0.35	0.	2.5e-002	1.5429
2548	-0.275	0.	5.e-002	2.0991
2550	-0.3	0.	0.	1.9747
2551	-0.325	0.	2.5e-002	1.7538
2553	-0.225	0.	5.e-002	2.2722
2555	-0.275	0.	0.	2.0883
2556	-0.2375	0.	2.5e-002	2.2662
2558	-0.175	0.	5.e-002	2.3054
2560	-0.1625	0.	2.5e-002	2.2429
2561	-0.2125	0.	2.5e-002	2.3272
2564	-0.125	0.	5.e-002	2.0758
2566	-0.1375	0.	2.5e-002	2.2149
2568	-7.5e-002	0.	5.e-002	1.6909
2570	-7.5e-002	0.	2.5e-002	1.691
2571	-0.1125	0.	2.5e-002	2.0129
2574	-3.75e-002	0.	5.e-002	1.3086
2576	-5.e-002	0.	2.5e-002	1.5044
2579	-1.25e-002	0.	5.e-002	0.96719
2581	0.	0.	2.5e-002	0.73924
2585	-1.25e-002	0.	2.5e-002	0.9016
2586	-3.75e-002	0.	2.5e-002	1.2946
2873	-1.25e-002	0.	-5.e-002	0.97264
2874	-3.75e-002	0.	-5.e-002	1.3251
2875	-1.25e-002	0.	-2.5e-002	0.90275
2876	-3.75e-002	0.	-2.5e-002	1.295
2882	0.	0.	-2.5e-002	0.73686
2886	-7.5e-002	0.	-5.e-002	1.7157
2887	-5.e-002	0.	-2.5e-002	1.5137
2890	-0.125	0.	-5.e-002	2.0792
2891	-7.5e-002	0.	-2.5e-002	1.7019
2892	-0.1125	0.	-2.5e-002	2.0256
2894	-0.175	0.	-5.e-002	2.2936
2895	-0.1375	0.	-2.5e-002	2.2055
2897	-0.225	0.	-5.e-002	2.2866
2898	-0.1625	0.	-2.5e-002	2.2406
2899	-0.2125	0.	-2.5e-002	2.3249
2901	-0.275	0.	-5.e-002	2.1063
2902	-0.2375	0.	-2.5e-002	2.2829
2904	-0.325	0.	-5.e-002	1.7473
2905	-0.325	0.	-2.5e-002	1.7444
2906	-0.2625	0.	-2.5e-002	2.1439
2910	-0.3625	0.	-5.e-002	1.3698
2911	-0.35	0.	-2.5e-002	1.5228
2914	-0.3875	0.	-5.e-002	1.0615
2915	-0.3875	0.	-2.5e-002	0.94954
2916	-0.3625	0.	-2.5e-002	1.3494
2921	-0.4	0.	-2.5e-002	0.786
5171	-2.5e-002	0.	0.	1.1082
5181	-0.375	0.	0.	1.1213
8000	-8.75e-002	0.	0.	1.8296
8015	-0.175	0.	0.	2.2367
64	-0.375	0.	-6.25e-002	0.35124
65	-0.35	0.	-6.25e-002	0.24663
66	-0.3	0.	-6.25e-002	0.15956
67	-0.25	0.	-6.25e-002	8.6881e-002
68	-0.2	0.	-6.25e-002	5.1552e-002
69	-0.15	0.	-6.25e-002	8.6795e-002
70	-0.1	0.	-6.25e-002	0.15645
71	-5.e-002	0.	-6.25e-002	0.2472
72	-2.5e-002	0.	-6.25e-002	0.3556
73	-2.5e-002	0.	6.25e-002	0.356
74	-5.e-002	0.	6.25e-002	0.24928
75	-0.1	0.	6.25e-002	0.15953
76	-0.15	0.	6.25e-002	8.6599e-002
