Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
115	-0.44	0.	5.5e-002	0.60432
116	-0.418	0.	5.5e-002	0.86554
117	-0.396	0.	5.5e-002	1.2796
118	-0.352	0.	5.5e-002	1.7452
119	-0.308	0.	5.5e-002	2.0305
120	-0.264	0.	5.5e-002	2.2137
121	-0.22	0.	5.5e-002	2.2919
122	-0.176	0.	5.5e-002	2.2232
123	-0.132	0.	5.5e-002	2.0497
124	-8.8e-002	0.	5.5e-002	1.7546
125	-4.4e-002	0.	5.5e-002	1.3495
126	0.	0.	5.5e-002	0.61122
127	-2.2e-002	0.	5.5e-002	0.96023
205	-2.2e-002	0.	-5.5e-002	0.94767
206	0.	0.	-5.5e-002	0.61979
207	-4.4e-002	0.	-5.5e-002	1.3486
208	-8.8e-002	0.	-5.5e-002	1.7992
209	-0.132	0.	-5.5e-002	2.0726
210	-0.176	0.	-5.5e-002	2.206
211	-0.22	0.	-5.5e-002	2.2764
212	-0.264	0.	-5.5e-002	2.2154
213	-0.308	0.	-5.5e-002	2.0364
214	-0.352	0.	-5.5e-002	1.7567
215	-0.396	0.	-5.5e-002	1.2988
216	-0.418	0.	-5.5e-002	0.90225
217	-0.44	0.	-5.5e-002	0.62707
595	0.	0.	0.	0.66246
596	-0.44	0.	0.	0.75028
1044	-4.4e-002	0.	0.	1.2942
1045	-0.1306	0.	8.6736e-019	2.0012
1046	-0.21707	0.	0.	2.2635
1047	-0.286	0.	0.	2.1042
1048	-0.35131	0.	1.9516e-018	1.6944
2682	-0.429	0.	5.5e-002	0.73493
2684	-0.44	0.	2.75e-002	0.6773
2690	-0.407	0.	5.5e-002	1.0726
2692	-0.429	0.	2.75e-002	0.80791
2695	-0.374	0.	5.5e-002	1.5124
2697	-0.418	0.	2.75e-002	1.0149
2698	-0.37366	0.	2.75e-002	1.487
2701	-0.33	0.	5.5e-002	1.8879
2703	-0.35166	0.	2.75e-002	1.7198
2706	-0.286	0.	5.5e-002	2.1221
2708	-0.297	0.	2.75e-002	2.0674
2709	-0.32966	0.	2.75e-002	1.8625
2712	-0.242	0.	5.5e-002	2.2528
2714	-0.24054	0.	2.75e-002	2.2386
2715	-0.275	0.	2.75e-002	2.159
2719	-0.198	0.	5.5e-002	2.2575
2721	-0.21854	0.	2.75e-002	2.2777
2724	-0.154	0.	5.5e-002	2.1364
2726	-0.1533	0.	2.75e-002	2.1122
2727	-0.19654	0.	2.75e-002	2.2433
2730	-0.11	0.	5.5e-002	1.9021
2732	-0.1313	0.	2.75e-002	2.0254
2735	-6.6e-002	0.	5.5e-002	1.552
2737	-6.6e-002	0.	2.75e-002	1.5244
2738	-0.1093	0.	2.75e-002	1.8779
2741	-3.3e-002	0.	5.5e-002	1.1548
2743	-4.4e-002	0.	2.75e-002	1.3218
2746	-1.1e-002	0.	5.5e-002	0.78572
2748	0.	0.	2.75e-002	0.63684
2752	-1.1e-002	0.	2.75e-002	0.81135
2753	-3.3e-002	0.	2.75e-002	1.1272
3123	-1.1e-002	0.	-5.5e-002	0.78373
3124	-3.3e-002	0.	-5.5e-002	1.1481
3125	-1.1e-002	0.	-2.75e-002	0.80507
3126	-3.3e-002	0.	-2.75e-002	1.1209
3131	0.	0.	-2.75e-002	0.64113
3137	-6.6e-002	0.	-5.5e-002	1.5739
3138	-4.4e-002	0.	-2.75e-002	1.3214
3141	-0.11	0.	-5.5e-002	1.9359
3142	-6.6e-002	0.	-2.75e-002	1.5467
3143	-0.1093	0.	-2.75e-002	1.9002
3147	-0.154	0.	-5.5e-002	2.1393
3148	-0.1313	0.	-2.75e-002	2.0369
3151	-0.198	0.	-5.5e-002	2.2412
3152	-0.1533	0.	-2.75e-002	2.1036
3153	-0.19654	0.	-2.75e-002	2.2347
3158	-0.242	0.	-5.5e-002	2.2459
3159	-0.21854	0.	-2.75e-002	2.27
3162	-0.286	0.	-5.5e-002	2.1259
3163	-0.24054	0.	-2.75e-002	2.2395
3164	-0.275	0.	-2.75e-002	2.1598
3167	-0.33	0.	-5.5e-002	1.8966
3168	-0.297	0.	-2.75e-002	2.0703
3169	-0.32966	0.	-2.75e-002	1.8654
3172	-0.374	0.	-5.5e-002	1.5278
3173	-0.35166	0.	-2.75e-002	1.7256
3176	-0.407	0.	-5.5e-002	1.1005
3177	-0.418	0.	-2.75e-002	1.0245
3178	-0.37366	0.	-2.75e-002	1.4966
3182	-0.429	0.	-5.5e-002	0.76466
3183	-0.429	0.	-2.75e-002	0.82627
3188	-0.44	0.	-2.75e-002	0.68867
5509	-2.2e-002	0.	0.	0.97831
5518	-0.39566	0.	9.7582e-019	1.2223
8505	-8.7298e-002	0.	4.3368e-019	1.6477
8511	-0.17384	0.	4.3368e-019	2.1323
8520	-0.25154	0.	0.	2.1839
8528	-0.31866	0.	9.7582e-019	1.8993
78	-0.418	0.	-6.875e-002	4.4191e-002
79	-0.396	0.	-6.875e-002	-2.6223e-002
80	-0.352	0.	-6.875e-002	-4.0904e-002
81	-0.308	0.	-6.875e-002	-4.8841e-002
82	-0.264	0.	-6.875e-002	-5.0785e-002
83	-0.22	0.	-6.875e-002	-5.0943e-002
84	-0.176	0.	-6.875e-002	-5.0203e-002
85	-0.132	0.	-6.875e-002	-4.7931e-002
86	-8.8e-002	0.	-6.875e-002	-4.1637e-002
87	-4.4e-002	0.	-6.875e-002	-2.6708e-002
88	-2.2e-002	0.	-6.875e-002	4.4341e-002
89	-2.2e-002	0.	6.875e-002	4.72e-002
90	-4.4e-002	0.	6.875e-002	-2.5556e-002
91	-8.8e-002	0.	6.875e-002	-4.1266e-002
92	-0.132	0.	6.875e-002	-4.8465e-002
93	-0.176	0.	6.875e-002	-5.0124e-002
94	-0.22	0.	6.875e-002	-5.0931e-002
95	-0.264	0.	6.875e-002	-5.0463e-002
96	-0.308	0.	6.875e-002	-4.8152e-002
97	-0.352	0.	6.875e-002	-4.0995e-002
98	-0.396	0.	6.875e-002	-2.6067e-002
99	-0.418	0.	6.875e-002	4.5427e-002
100	0.	0.	6.875e-002	0.11023
101	0.	0.	8.25e-002	7.0789e-002
102	-2.2e-002	0.	8.25e-002	2.7076e-002
103	-4.4e-002	0.	8.25e-002	-3.5758e-002
104	-8.8e-002	0.	8.25e-002	-6.2752e-002
105	-0.132	0.	8.25e-002	-7.2477e-002
106	-0.176	0.	8.25e-002	-7.4913e-002
107	-0.22	0.	8.25e-002	-7.6061e-002
108	-0.264	0.	8.25e-002	-7.5448e-002
109	-0.308	0.	8.25e-002	-7.1982e-002
110	-0.352	0.	8.25e-002	-6.2319e-002
111	-0.396	0.	8.25e-002	-3.6317e-002
112	-0.418	0.	8.25e-002	2.3809e-002
113	-0.44	0.	6.875e-002	0.10766
114	-0.44	0.	8.25e-002	6.531e-002
115	-0.44	0.	5.5e-002	0.15002
116	-0.418	0.	5.5e-002	6.7045e-002
117	-0.396	0.	5.5e-002	-1.5816e-002
118	-0.352	0.	5.5e-002	-1.9671e-002
119	-0.308	0.	5.5e-002	-2.4322e-002
120	-0.264	0.	5.5e-002	-2.5479e-002
121	-0.22	0.	5.5e-002	-2.5801e-002
122	-0.176	0.	5.5e-002	-2.5336e-002
123	-0.132	0.	5.5e-002	-2.4453e-002
124	-8.8e-002	0.	5.5e-002	-1.9781e-002
125	-4.4e-002	0.	5.5e-002	-1.5354e-002
126	0.	0.	5.5e-002	0.14968
127	-2.2e-002	0.	5.5e-002	6.7324e-002
205	-2.2e-002	0.	-5.5e-002	6.3873e-002
206	0.	0.	-5.5e-002	0.14298
207	-4.4e-002	0.	-5.5e-002	-1.5827e-002
208	-8.8e-002	0.	-5.5e-002	-1.9991e-002
209	-0.132	0.	-5.5e-002	-2.4219e-002
210	-0.176	0.	-5.5e-002	-2.5333e-002
211	-0.22	0.	-5.5e-002	-2.5812e-002
212	-0.264	0.	-5.5e-002	-2.5671e-002
213	-0.308	0.	-5.5e-002	-2.4666e-002
214	-0.352	0.	-5.5e-002	-1.9643e-002
215	-0.396	0.	-5.5e-002	-1.5714e-002
216	-0.418	0.	-5.5e-002	6.5513e-002
217	-0.44	0.	-5.5e-002	0.147
325	-0.418	0.	-8.25e-002	2.287e-002
326	-0.44	0.	-8.25e-002	6.5176e-002
327	-0.396	0.	-8.25e-002	-3.6733e-002
328	-0.352	0.	-8.25e-002	-6.2165e-002
329	-0.308	0.	-8.25e-002	-7.3015e-002
330	-0.264	0.	-8.25e-002	-7.59e-002
331	-0.22	0.	-8.25e-002	-7.6073e-002
332	-0.176	0.	-8.25e-002	-7.5073e-002
333	-0.132	0.	-8.25e-002	-7.1643e-002
334	-8.8e-002	0.	-8.25e-002	-6.3283e-002
335	-4.4e-002	0.	-8.25e-002	-3.7589e-002
336	-2.2e-002	0.	-8.25e-002	2.481e-002
337	0.	0.	-8.25e-002	6.7446e-002
347	-0.44	0.	-6.875e-002	0.10609
351	0.	0.	-6.875e-002	0.10521
2532	-0.407	0.	-6.875e-002	8.9841e-003
2533	-0.418	0.	-6.1875e-002	5.4852e-002
2534	-0.418	0.	-7.5625e-002	3.3531e-002
2535	-0.429	0.	-6.875e-002	7.5139e-002
2536	-0.374	0.	-6.875e-002	-3.3564e-002
2537	-0.396	0.	-6.1875e-002	-2.0968e-002
2538	-0.396	0.	-7.5625e-002	-3.1478e-002
2539	-0.33	0.	-6.875e-002	-4.4872e-002
2540	-0.352	0.	-6.1875e-002	-3.0273e-002
2541	-0.352	0.	-7.5625e-002	-5.1534e-002
2542	-0.286	0.	-6.875e-002	-4.9813e-002
2543	-0.308	0.	-6.1875e-002	-3.6754e-002
2544	-0.308	0.	-7.5625e-002	-6.0928e-002
2545	-0.242	0.	-6.875e-002	-5.0864e-002
2546	-0.264	0.	-6.1875e-002	-3.8228e-002
2547	-0.264	0.	-7.5625e-002	-6.3342e-002
2548	-0.198	0.	-6.875e-002	-5.0573e-002
2549	-0.22	0.	-6.1875e-002	-3.8377e-002
2550	-0.22	0.	-7.5625e-002	-6.3508e-002
2551	-0.154	0.	-6.875e-002	-4.9067e-002
