Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
280	-2.10E-02	0.20344	0	59.953
281	-2.10E-02	0.19688	0	95.28
282	-2.10E-02	0.18375	0	109.81
283	-2.10E-02	0.17063	0	114.4
284	-2.10E-02	0.1575	0	115.17
285	-2.10E-02	0.14437	0	115.33
286	-2.10E-02	0.13125	0	115.37
287	-2.10E-02	0.11812	0	115.38
288	-2.10E-02	0.105	0	115.39
289	-2.10E-02	9.19E-02	0	115.38
290	-2.10E-02	7.88E-02	0	115.37
291	-2.10E-02	6.56E-02	0	115.33
292	-2.10E-02	5.25E-02	0	115.17
293	-2.10E-02	3.94E-02	0	114.4
294	-2.10E-02	2.63E-02	0	109.81
295	-2.10E-02	1.31E-02	0	95.28
296	-2.10E-02	6.56E-03	0	59.952
314	-2.10E-02	1.00E-15	0	35.208
319	-2.10E-02	0.21	0	35.208
327	1.05E-02	0.21	0	29.319
328	3.55E-15	0.21	0	23.667
329	-1.05E-02	0.21	0	29.461
330	2.10E-02	0.21	0	35.017
368	2.10E-02	0	0	35.017
633	2.10E-02	6.56E-03	0	59.692
634	2.10E-02	1.31E-02	0	95.024
635	2.10E-02	2.63E-02	0	109.69
636	2.10E-02	3.94E-02	0	114.36
637	2.10E-02	5.25E-02	0	115.16
638	2.10E-02	6.56E-02	0	115.32
639	2.10E-02	7.88E-02	0	115.37
640	2.10E-02	9.19E-02	0	115.38
641	2.10E-02	0.105	0	115.39
642	2.10E-02	0.11812	0	115.38
643	2.10E-02	0.13125	0	115.37
644	2.10E-02	0.14437	0	115.32
645	2.10E-02	0.1575	0	115.16
646	2.10E-02	0.17063	0	114.36
647	2.10E-02	0.18375	0	109.69
648	2.10E-02	0.19688	0	95.024
649	2.10E-02	0.20344	0	59.691
650	1.05E-02	0.20344	0	51.792
651	3.50E-15	0.20344	0	43.966
652	-1.05E-02	0.20344	0	51.996
653	1.05E-02	0.19688	0	87.169
654	3.38E-15	0.19688	0	79.402
655	-1.05E-02	0.19688	0	87.385
656	1.05E-02	0.18375	0	106.16
657	3.16E-15	0.18375	0	102.68
658	-1.05E-02	0.18375	0	106.27
659	1.05E-02	0.17063	0	113.49
660	2.94E-15	0.17063	0	112.64
661	-1.05E-02	0.17063	0	113.53
662	1.05E-02	0.1575	0	114.98
663	2.72E-15	0.1575	0	114.81
664	-1.05E-02	0.1575	0	114.99
665	1.05E-02	0.14437	0	115.29
666	2.49E-15	0.14437	0	115.26
667	-1.05E-02	0.14437	0	115.29
668	1.05E-02	0.13125	0	115.36
669	2.27E-15	0.13125	0	115.35
670	-1.05E-02	0.13125	0	115.36
671	1.05E-02	0.11812	0	115.38
672	2.05E-15	0.11812	0	115.38
673	-1.05E-02	0.11812	0	115.38
674	1.05E-02	0.105	0	115.39
675	1.83E-15	0.105	0	115.39
676	-1.05E-02	0.105	0	115.39
677	1.05E-02	9.19E-02	0	115.38
678	1.61E-15	9.19E-02	0	115.38
679	-1.05E-02	9.19E-02	0	115.38
680	1.05E-02	7.88E-02	0	115.36
681	1.39E-15	7.88E-02	0	115.35
682	-1.05E-02	7.88E-02	0	115.36
