Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
14	-2.1e-002	1.e-015	0.	0.27018
15	-2.1e-002	1.75e-002	0.	0.41977
16	-2.1e-002	3.5e-002	0.	0.67885
17	-2.1e-002	5.25e-002	0.	0.81021
18	-2.1e-002	7.e-002	0.	0.90549
19	-2.1e-002	8.75e-002	0.	0.95962
20	-2.1e-002	0.105	0.	0.97683
21	-2.1e-002	0.1225	0.	0.95804
22	-2.1e-002	0.14	0.	0.90244
23	-2.1e-002	0.1575	0.	0.80815
24	-2.1e-002	0.175	0.	0.63057
25	-2.1e-002	0.21	0.	0.26161
26	-2.1e-002	0.1925	0.	0.42329
33	2.1e-002	0.21	0.	0.26707
79	2.1e-002	0.1925	0.	0.45894
80	2.1e-002	0.175	0.	0.67284
81	2.1e-002	0.1575	0.	0.79442
82	2.1e-002	0.14	0.	0.91466
83	2.1e-002	0.1225	0.	0.95507
84	2.1e-002	0.105	0.	0.97915
85	2.1e-002	8.75e-002	0.	0.96191
86	2.1e-002	7.e-002	0.	0.91691
87	2.1e-002	5.25e-002	0.	0.79601
88	2.1e-002	3.5e-002	0.	0.64324
89	2.1e-002	1.75e-002	0.	0.43067
90	2.1e-002	0.	0.	0.27535
158	1.05e-002	0.21	0.	0.22452
159	-1.05e-002	0.21	0.	0.24394
160	1.05e-002	2.7756e-018	0.	0.23498
161	-1.05e-002	3.5805e-016	0.	0.23668
495	0.	0.21	0.	0.23329
496	0.	0.	0.	0.22089
1390	2.8142e-003	0.18341	0.	0.59722
1391	0.	0.14875	0.	0.8629
1392	0.	0.11375	0.	0.97437
1393	0.	7.875e-002	0.	0.93971
1394	4.2327e-016	4.125e-002	0.	0.73343
1395	1.2953e-005	1.2629e-002	0.	0.43303
1396	0.	6.125e-002	0.	0.86651
1397	0.	9.625e-002	0.	0.972
1398	0.	0.13125	0.	0.93759
1399	0.	0.16625	0.	0.73322
1400	5.25e-003	0.19687	0.	0.41302
1401	-8.0676e-003	2.6657e-002	0.	0.57167
1402	-7.875e-003	0.19469	0.	0.44606
7186	-2.1e-002	8.75e-003	0.	0.34497
7188	-1.575e-002	6.7902e-016	0.	0.25343
7192	-2.1e-002	2.625e-002	0.	0.54931
7194	-1.575e-002	8.75e-003	0.	0.32823
7195	-1.0494e-002	1.5064e-002	0.	0.4264
7196	-1.4534e-002	2.2079e-002	0.	0.49572
7198	-2.1e-002	4.375e-002	0.	0.74453
7200	-1.05e-002	3.8125e-002	0.	0.70614
7201	-1.4534e-002	3.0829e-002	0.	0.62526
7202	-2.1e-002	6.125e-002	0.	0.85785
7204	-1.05e-002	4.6875e-002	0.	0.77182
7205	-1.05e-002	5.6875e-002	0.	0.83836
7206	-2.1e-002	7.875e-002	0.	0.93255
7208	-1.05e-002	7.4375e-002	0.	0.9226
7209	-1.05e-002	6.5625e-002	0.	0.886
7210	-2.1e-002	9.625e-002	0.	0.96822
7212	-1.05e-002	8.3125e-002	0.	0.94966
7213	-1.05e-002	9.1875e-002	0.	0.96581
7214	-2.1e-002	0.11375	0.	0.96743
7216	-1.05e-002	0.10938	0.	0.9756
7217	-1.05e-002	0.10063	0.	0.97441
7218	-2.1e-002	0.13125	0.	0.93024
7220	-1.05e-002	0.11812	0.	0.96621
7221	-1.05e-002	0.12687	0.	0.94782
7222	-2.1e-002	0.14875	0.	0.8553
7224	-1.05e-002	0.14437	0.	0.88267
7225	-1.05e-002	0.13563	0.	0.92002
7226	-2.1e-002	0.16625	0.	0.71936
7228	-1.05e-002	0.15313	0.	0.83553
7229	-1.05e-002	0.16187	0.	0.77069
7230	-2.1e-002	0.18375	0.	0.52693
7232	-9.0929e-003	0.17921	0.	0.61389
7233	-1.05e-002	0.17063	0.	0.6819
7234	-1.4438e-002	0.18484	0.	0.53831
7236	-2.1e-002	0.20125	0.	0.34245
7238	-1.575e-002	0.21	0.	0.25277
7243	-1.575e-002	0.20125	0.	0.33362
7244	-1.4438e-002	0.19359	0.	0.43467
7311	2.1e-002	0.20125	0.	0.36301
7312	1.575e-002	0.21	0.	0.2458
7575	2.1e-002	0.18375	0.	0.56589
